,ranking,school_name,school_type,address,city,zipcode,county,district,is_charter,is_magnet,is_title_i,total_students,full_time_teachers,student_teacher_ratio,free_lunch_recipient,white,black,hispanic,asian,total_expenditure_per_pupil,ranking_quartile,type_is_Top 25th Percentile,type_is_50th Percentile,type_is_75th Percentile,type_is_Bottom 25th Percentile,lunch_eligibity_high,lunch_eligibity_high_False,lunch_eligibity_high_True
848,2196,Ps 43,Public,160 Beach 29th St,Far Rockaway,11691,Queens County,New York City Geographic District #27,No,No,Yes,894,63.0,14.1,93.3,44 (4.9%),519 (58.1%),292 (32.7%),9 (1.0%),,Bottom 25th Percentile,0,0,0,1,True,0,1
849,2199,Ps 246 Poe Center,Public,2641 Grand Concourse,Bronx,10468,Bronx County,New York City Geographic District #10,No,No,Yes,679,56.0,12.1,91.6,25 (3.7%),46 (6.8%),586 (86.3%),17 (2.5%),,Bottom 25th Percentile,0,0,0,1,True,0,1
850,2200,Ps 85 Great Expectations,Public,2400 Marion Ave,Bronx,10458,Bronx County,New York City Geographic District #10,No,No,Yes,916,82.0,11.1,94.7,3 (0.3%),244 (26.6%),651 (71.1%),8 (0.9%),,Bottom 25th Percentile,0,0,0,1,True,0,1
851,2202,Ps 6 West Farms,Public,1000 E Tremont Ave,Bronx,10460,Bronx County,New York City Geographic District #12,No,No,Yes,533,38.0,14.0,97.9,5 (0.9%),125 (23.5%),396 (74.3%),3 (0.6%),,Bottom 25th Percentile,0,0,0,1,True,0,1
852,2204,Ps 46 Arthur Tappan,Public,2987 Frederick Douglas Blvd,New York,10039,New York County,New York City Geographic District # 5,No,No,Yes,633,52.0,12.1,92.7,6 (0.9%),306 (48.3%),308 (48.7%),4 (0.6%),,Bottom 25th Percentile,0,0,0,1,True,0,1
853,2206,Elementary School For Math Science And Technology,Public,125 E 181st St,Bronx,10453,Bronx County,New York City Geographic District #10,No,No,Yes,281,20.0,14.0,95.7,0 (0.0%),63 (22.4%),215 (76.5%),0 (0.0%),,Bottom 25th Percentile,0,0,0,1,True,0,1
854,2208,Ps 57 Crescent,Public,2111 Crotona Ave,Bronx,10457,Bronx County,New York City Geographic District #12,No,No,Yes,562,35.0,16.0,91.1,13 (2.3%),137 (24.4%),387 (68.9%),7 (1.2%),,Bottom 25th Percentile,0,0,0,1,True,0,1
855,2209,Ps 140 Nathan Straus,Public,123 Ridge St,New York,10002,New York County,New York City Geographic District # 1,No,No,Yes,386,30.0,12.6,83.9,8 (2.1%),51 (13.2%),308 (79.8%),18 (4.7%),,Bottom 25th Percentile,0,0,0,1,True,0,1
856,2211,Ps 32 Belmont,Public,690 E 183rd St,Bronx,10458,Bronx County,New York City Geographic District #10,No,No,Yes,762,64.0,11.9,96.7,19 (2.5%),137 (18.0%),593 (77.8%),4 (0.5%),,Bottom 25th Percentile,0,0,0,1,True,0,1
857,2213,Ps 111 Seton Falls,Public,3740 Baychester Ave,Bronx,10466,Bronx County,New York City Geographic District #11,No,No,Yes,643,45.0,14.2,88.6,10 (1.6%),388 (60.3%),230 (35.8%),7 (1.1%),,Bottom 25th Percentile,0,0,0,1,True,0,1
858,2215,Ps 112 Bronxwood,Public,1925 Scheiffelin Ave,Bronx,10466,Bronx County,New York City Geographic District #11,No,No,Yes,406,32.0,12.6,87.7,9 (2.2%),212 (52.2%),185 (45.6%),0 (0.0%),,Bottom 25th Percentile,0,0,0,1,True,0,1
859,2216,Ps 18 John Peter Zenger,Public,502 Morris Ave,Bronx,10451,Bronx County,New York City Geographic District # 7,No,No,Yes,564,48.0,11.7,99.8,22 (3.9%),147 (26.1%),382 (67.7%),1 (0.2%),,Bottom 25th Percentile,0,0,0,1,True,0,1
860,2218,Ps 297 Abraham Stockton,Public,700 Park Ave,Brooklyn,11206,Kings County,New York City Geographic District #14,No,No,Yes,204,17.0,12.0,86.8,2 (1.0%),76 (37.3%),117 (57.4%),3 (1.5%),,Bottom 25th Percentile,0,0,0,1,True,0,1
861,2220,Ps 183 Dr Richard R Green,Public,2-45 Beach 79th St,Rockaway Beach,11693,Queens County,New York City Geographic District #27,No,No,Yes,484,50.0,9.6,90.7,28 (5.8%),287 (59.3%),131 (27.1%),20 (4.1%),,Bottom 25th Percentile,0,0,0,1,True,0,1
862,2221,Ps 181,Public,1023 New York Ave,Brooklyn,11203,Kings County,New York City Geographic District #17,No,No,Yes,645,38.0,16.9,75.8,15 (2.3%),539 (83.6%),68 (10.5%),8 (1.2%),,Bottom 25th Percentile,0,0,0,1,True,0,1
